State,LAT,LON,T2016,T2015,T2014,T2013,T2012,T2011,T2010,T2009,T2008,T2007,T2006,T2005,T2004,T2003,T2002,T2001,T2000,T1999,T1998,T1997,T1996,T1995,T1994,T1993,T1992,T1991,D2016,D2015,D2014,D2013,D2012,D2011,D2010,D2009,D2008,D2007,D2006,D2005,D2004,D2003,D2002,D2001,D2000,D1999,D1998_,D1997,D1996,D1995,D1994,D1993,D1992,D1991
Alabama,33.032614,-86.791992,486,421,433,429,389,412,407,348,352,386,365,341,284,338,315,308,358,285,324,305,331,348,322,308,266,238,249,218,239,215,190,214,232,240,217,262,241,206,183,207,217,200,217,169,189,165,164,159,167,158,134,130
Alaska,65.642874,-151.12793,47,49,51,43,46,41,37,33,29,42,28,42,54,39,36,33,28,36,31,16,27,37,22,33,20,30,30,34,45,27,38,30,27,40,31,30,14,31,39,47,34,49,46,33,31,20,16,24,27,25,20,31
Arizona,34.421411,-111.84082,950,736,637,665,597,652,576,558,573,606,532,537,452,391,423,376,321,325,291,259,244,222,257,246,148,133,330,286,289,306,301,324,265,306,255,299,244,273,246,209,223,211,164,174,146,125,130,112,110,99,79,77
Arkansas,34.891338,-92.460938,263,209,208,219,242,229,207,231,213,214,250,253,227,181,179,175,185,179,174,188,169,172,173,178,146,120,105,101,98,94,118,111,112,131,107,121,135,135,124,112,110,83,86,104,75,95,75,93,87,81,79,69
California,37.79329,-120.761719,3854,3687,3408,3444,3319,3252,3143,2992,3142,3172,3174,3100,3161,3007,2851,2638,2490,2303,2427,2350,2303,2194,2081,2116,1901,1698,1547,1598,1458,1488,1437,1448,1484,1464,1473,1484,1490,1448,1449,1414,1304,1285,1197,1074,1086,1054,1003,940,905,808,779,734
Colorado,39.101078,-105.600586,414,403,383,400,370,425,419,375,347,336,344,379,340,310,317,328,309,278,277,268,237,284,230,277,196,162,257,241,212,233,215,260,237,218,211,183,206,235,183,156,172,186,183,149,158,126,131,126,92,113,69,62
Connecticut,41.665936,-72.70752,378,284,298,274,305,295,335,299,300,245,240,249,242,237,247,274,255,245,219,215,221,208,165,184,145,156,168,157,156,151,139,145,174,126,136,124,131,136,142,124,146,133,150,111,128,109,104,103,87,75,66,60
Delaware,38.866658,-75.454102,120,114,108,134,97,98,108,90,111,104,105,84,86,84,95,84,90,83,96,69,83,71,53,54,53,26,56,61,66,60,65,59,47,67,61,52,64,45,47,43,56,41,49,44,49,33,36,26,26,21,22,18
District of Columbia,38.897713,-77.036819,123,96,89,69,71,73,56,71,58,48,71,79,72,55,62,61,56,73,45,41,44,60,54,47,56,53,41,28,42,30,33,39,41,48,28,39,48,40,37,20,34,35,24,40,31,21,36,21,22,24,25,23
Florida,28.077796,-81.650391,2028,1933,1715,1606,1637,1772,1774,1688,1747,1719,1604,1644,1531,1426,1352,1511,1281,1245,1179,1146,987,1067,858,725,727,629,921,862,780,780,796,782,775,747,755,744,733,702,739,665,615,647,597,626,571,536,478,524,457,406,328,378
Georgia,32.774343,-83.583984,957,949,848,854,832,817,817,772,683,694,713,658,703,580,566,575,542,488,466,461,394,420,369,374,313,252,472,473,427,454,419,418,464,398,385,399,394,392,417,317,332,350,297,250,246,237,212,238,199,182,162,156
Hawaii,19.44173,-155.654297,108,108,118,99,50,83,85,85,93,82,92,95,81,84,89,74,65,76,67,52,52,46,56,42,69,47,52,64,66,66,68,57,48,52,51,39,49,58,50,40,48,44,40,40,33,22,17,23,21,13,29,13
Idaho,43.61699,-114.785156,115,116,121,118,89,102,89,73,84,110,111,71,95,99,84,77,100,90,75,73,80,72,53,43,61,58,81,67,65,66,64,66,63,51,43,53,79,57,52,51,51,55,54,50,46,49,46,46,38,24,23,35
Illinois,40.083115,-89.472656,1472,1264,1335,1386,1325,1446,1372,1487,1393,1315,1485,1436,1389,1326,1222,1094,1109,1047,1047,1035,1059,1078,994,844,703,595,706,666,639,681,626,672,721,657,641,627,727,684,688,650,643,586,564,528,486,459,465,465,403,330,310,311
Indiana,40.049484,-86.264648,698,588,645,613,640,591,644,601,601,642,631,747,668,669,586,492,455,397,429,379,380,370,393,387,336,311,338,316,303,274,290,313,348,313,298,271,329,315,313,302,261,220,205,187,208,188,163,176,154,167,137,135
Iowa,41.97256,-93.515625,304,265,304,336,265,294,329,312,255,226,270,249,260,259,283,309,293,272,244,224,234,199,270,229,175,166,123,142,145,139,121,113,145,137,122,133,131,133,139,135,139,147,145,140,108,102,114,95,115,93,68,73
Kansas,38.415723,-98.4375,274,255,255,249,231,244,224,231,263,223,233,214,194,166,197,178,183,178,176,165,151,161,130,144,120,141,173,135,151,137,150,147,140,167,144,136,139,127,105,115,96,101,97,94,101,87,81,84,71,78,66,81
Kentucky,37.480089,-85.078125,374,367,352,385,362,332,388,366,344,354,356,377,339,342,337,317,293,322,310,300,306,311,288,281,210,230,181,142,179,186,163,158,166,151,163,175,162,172,153,147,164,164,126,145,147,138,135,120,120,112,107,115
Louisiana,31.058581,-92.504883,444,443,475,446,431,412,453,438,378,466,352,400,468,464,443,397,387,359,336,344,329,360,351,288,269,229,253,232,226,221,221,210,229,218,223,237,198,222,259,193,169,181,167,144,142,150,149,141,148,131,129,113
Maine,45.062658,-69.213867,105,98,109,75,92,89,87,104,76,94,115,93,92,98,99,121,94,80,73,57,65,50,75,46,59,56,93,68,73,64,61,56,56,73,64,68,76,62,65,62,60,76,51,40,43,42,51,35,38,16,24,32
Maryland,39.412006,-76.420898,916,930,817,789,757,721,722,809,630,652,656,624,579,490,598,649,722,633,563,481,507,468,394,401,353,271,411,372,367,360,340,324,337,351,319,302,339,311,304,297,294,303,332,326,278,223,197,203,170,170,167,129
Massachusetts,42.359762,-71.993408,761,640,628,616,533,582,619,613,554,590,606,577,561,522,478,517,477,435,435,427,395,380,365,348,306,328,306,316,290,277,278,254,309,306,265,282,265,285,292,266,277,319,265,238,216,201,206,204,174,160,138,149
Michigan,43.775853,-84.814453,1094,1018,953,1006,956,913,951,1059,1043,1016,1070,1037,1063,919,890,889,835,752,789,703,709,711,648,613,541,491,526,491,449,519,504,479,512,544,567,572,564,608,612,541,520,474,466,409,409,404,357,345,330,311,273,309
Minnesota,46.230013,-94.658203,619,586,526,470,493,524,531,516,552,565,628,602,587,574,558,557,541,474,432,425,413,382,363,366,287,256,318,267,275,252,261,297,307,341,330,323,364,377,331,326,304,333,274,274,261,231,233,218,209,203,180,164
Mississippi,32.811285,-89.692383,347,282,295,272,287,277,276,273,288,323,222,225,234,232,206,211,189,205,213,165,174,182,180,159,100,113,131,116,112,111,123,118,122,125,124,119,121,138,110,115,131,94,95,95,99,79,73,60,66,62,40,43
Missouri,38.243357,-92.680664,644,562,599,600,537,568,564,604,545,599,609,521,456,389,400,398,468,456,446,395,365,402,429,382,300,280,331,307,311,285,269,278,292,316,280,322,312,308,255,242,202,235,221,198,225,204,173,194,186,165,138,160
Montana,46.924757,-109.995117,51,77,60,78,67,73,73,66,54,65,67,74,67,65,60,63,78,53,55,45,58,59,65,54,44,44,43,39,45,49,35,52,46,37,35,45,49,46,50,43,47,46,43,50,39,22,30,36,35,21,29,29
Nebraska,41.546411,-99.711914,185,226,218,238,215,185,189,175,155,201,205,177,166,156,140,128,147,114,118,120,134,111,128,145,122,118,85,106,97,101,86,69,90,83,81,94,107,95,88,89,70,62,71,59,46,44,53,63,52,44,46,48
Nevada,39.779835,-117.070313,214,201,179,191,187,183,149,139,137,171,174,151,146,136,142,151,145,127,132,121,84,84,90,97,92,79,152,149,142,137,128,105,87,73,112,108,121,100,98,94,84,89,90,64,63,57,58,46,45,45,38,52
New Hampshire,43.382296,-71.630859,123,107,95,89,92,101,98,110,94,112,113,109,102,94,79,81,72,51,69,60,57,56,43,58,49,40,58,70,78,70,59,55,58,57,55,79,75,56,69,53,45,59,61,37,54,49,31,33,35,30,32,21
