State_Name,ST,LAT,LON,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Alabama,AL,32.318231,-86.902298,413,395,401,413,372,422,433,411,428,476,493,493,403,492,454,464,527,455,468,445,450,453,410,416,316,312
Alaska,AK,64.200841,-149.493673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,34.048928,-111.093731,"1,089",838,711,754,652,735,618,590,601,607,511,498,421,354,376,341,289,273,259,212,206,205,233,225,153,168
Arkansas,AR,35.20105,-91.831833,161,127,123,156,161,155,159,173,158,171,183,185,154,119,122,103,110,116,108,136,112,127,121,133,109,84
California,CA,36.778261,-119.417932,"3,867","3,703","3,454","3,491","3,357","3,310","3,222","3,058","3,261","3,297","3,311","3,245","3,296","3,138","3,007","2,789","2,640","2,462","2,571","2,517","2,465","2,412","2,298","2,314","2,147","2,133"
Colorado,CO,39.550051,-105.782067,461,443,421,474,431,484,478,433,399,399,405,436,382,364,361,362,353,316,320,296,277,304,250,303,205,179
Connecticut,CT,41.603221,-73.087749,286,234,238,223,237,237,278,228,240,179,178,179,176,172,212,214,197,197,190,188,185,177,144,159,131,144
Delaware,DE,38.910832,-75.52767,39,37,43,60,48,48,39,25,29,30,14,15,19,15,24,18,11,1,1,4,2,4,1,1,0,0
District of Columbia,DC,38.907192,-77.036871,527,409,349,331,321,325,335,389,319,278,348,318,277,262,252,238,226,252,260,175,203,208,215,210,255,256
Florida,FL,27.664827,-81.515754,"2,157","2,047","1,803","1,721","1,750","1,900","1,900","1,803","1,921","1,891","1,789","1,855","1,743","1,557","1,492","1,650","1,370","1,343","1,239","1,188","1,018","1,023",760,634,631,602
Georgia,GA,32.165622,-82.900075,922,888,818,829,802,763,782,699,622,649,624,561,595,496,496,531,480,433,458,438,371,433,430,423,362,321
Hawaii,HI,19.896766,-155.582782,67,64,75,56,27,57,63,64,70,58,67,86,59,65,75,58,53,60,46,41,36,18,34,26,43,30
Idaho,ID,44.068202,-114.742041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,IL,40.633125,-89.398528,"1,208",979,"1,094","1,128","1,060","1,190","1,167","1,226","1,208","1,137","1,331","1,296","1,251","1,199","1,092",940,984,940,895,892,941,935,807,663,588,587
Indiana,IN,40.267194,-86.134902,616,582,609,566,611,566,588,565,530,562,524,621,554,527,444,348,303,262,306,272,291,277,315,306,291,277
Iowa,IA,41.878003,-93.097702,239,229,257,263,212,242,249,213,174,156,157,169,148,195,211,196,208,196,188,178,178,143,229,195,137,140
Kansas,KS,39.011902,-98.484246,236,223,238,233,201,235,212,243,233,191,168,155,137,136,144,139,146,149,125,114,107,124,105,105,99,117
Kentucky,KT,37.839333,-84.270018,333,302,298,326,304,280,310,283,281,285,285,319,274,277,296,256,265,255,272,257,268,271,251,243,184,219
Louisiana,LA,30.984298,-91.962333,578,607,574,523,527,480,520,499,449,492,416,475,565,539,476,467,428,381,347,334,343,377,384,299,304,292
Maine,ME,45.253783,-69.445469,36,44,55,38,45,46,42,61,46,60,76,53,66,67,62,83,57,53,50,32,31,33,47,31,31,44
Maryland,MD,39.045755,-76.641271,855,894,805,776,744,673,629,732,599,669,697,627,568,483,630,753,812,754,586,501,511,433,329,311,253,184
Massachusetts,MA,42.407211,-71.382437,"1,010",795,799,752,689,734,777,799,708,735,765,731,705,672,604,662,647,540,560,595,597,547,544,532,535,568
Michigan,MI,44.314844,-85.602364,"1,000",924,873,923,870,816,843,927,909,863,928,891,919,784,791,761,721,673,699,641,626,644,599,555,551,554
Minnesota,MN,46.729553,-94.6859,894,845,746,722,752,774,766,804,814,844,929,974,955,942,887,959,919,807,728,672,656,660,624,630,606,549
Mississippi,MS,32.354668,-89.398528,204,132,128,126,115,84,64,83,96,111,16,22,33,40,43,38,37,44,63,34,53,46,61,36,19,26
Missouri,MO,37.964253,-91.831833,800,734,717,695,727,747,725,754,704,740,774,670,601,494,508,539,595,607,636,592,534,581,607,542,439,458
Montana,MT,46.879682,-110.362566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,NE,41.492537,-99.901813,293,305,326,347,302,261,303,315,288,337,335,257,267,217,226,232,249,207,236,223,227,229,243,252,237,238
Nevada,NV,38.80261,-116.419389,63,78,61,59,60,45,47,45,44,65,69,66,65,59,68,70,63,53,59,65,45,29,39,49,41,34
New Hampshire,NH,43.193852,-71.572395,42,51,43,39,43,63,61,57,48,59,56,42,36,35,31,25,21,20,26,20,30,26,23,27,4,0
New Jersey,NJ,40.058324,-74.405661,600,564,470,519,549,596,595,585,576,585,534,589,613,513,514,506,484,455,324,324,297,261,244,219,184,168
New Mexico,NM,34.51994,-105.87009,86,66,87,65,62,78,78,96,82,72,78,68,64,53,59,61,74,73,85,65,108,104,76,62,61,87
New York,NY,40.712784,-74.005941,"2,148","1,930","1,826","1,671","1,802","1,830","1,802","1,939","1,949","2,079","2,274","2,043","1,748","1,539","1,644","1,655","1,467","1,402","1,377","1,251","1,137","1,188","1,061",997,950,862
